"Subj","Gender","Age","SES","Siblings","Numeracy","SOEP","SOEPdrive","SOEPfinance","SOEPhealth","SOEPoccup","SOEPrecreat","SOEPsocial","WMC","BartPumps","HoltRisk","LottRisk","LottEV","Concentration","Tiredness","Motivation","Happy","Angry","Sad","Afraid","SOEPMeans","Positive","Negative","RiskPreferences","AngryRecoded","SadRecoded","AfraidRecoded","Affect","LottRiskZScore","LottEVZScore","BartPumpsZScore"
68050901,1,24,4,5,2,8,1,3,6,6,6,8,0.57969246031746,38.59,5,0.42,0.74,62,63,75,81,25,35,14,5,78,24.6666666666667,-0.131450998270454,75,65,86,76.75,-0.605835664502127,0.0149527670306685,0.196529902660097
68036701,1,22,6,2,2,6,2,4,3,8,7,9,0.776577380952381,40.33,4,0.54,0.72,40,38,75,67,12,19,40,5.5,71,23.6666666666667,0.450623443276165,88,81,60,74,1.16446335514694,-0.171956820852695,0.359363795534245
64178801,1,26,2,2,0,8,3,8,6,8,3,7,0.670089285714286,14.1,4,0.38,0.82,76,20,71,94,21,14,17,5.83333333333333,82.5,17.3333333333333,-0.842884855783123,79,86,83,85.5,-1.19593533771848,0.762591118564122,-2.09531034819501
68021101,1,20,6,1,3,5,3,3,6,8,6,5,0.831775793650794,16.6,4,0.5,0.76,89,70,99,99,10,10,71,5.16666666666667,99,30.3333333333333,-0.361709189571706,90,90,29,77,0.574363681930587,0.201862354914032,-1.86135360555974
68009501,1,21,3,1,2,4,4,4,5,7,5,9,0.663323412698413,25.43,3,0.5,0.7,80,55,81,79,20,20,20,5.66666666666667,80,20,-0.273173705792479,80,80,80,79.75,0.574363681930587,-0.358866408736059,-1.03501839057196
64186801,2,31,6,0,1,8,1,1,7,9,8,6,0.563055555555555,29.17,2,0.58,0.72,78,37,89,99,7,6,0,5.33333333333333,94,4.33333333333333,0.299195701307002,93,94,100,96.5,1.7545630283633,-0.171956820852695,-0.6850191035896
68019601,1,20,5,2,1,8,2,2,2,10,9,6,0.767698412698413,44.27,5,0.48,0.7,70,46,91,86,20,16,14,5.16666666666667,88.5,16.6666666666667,0.21617568617126,80,84,86,84,0.279313845322408,-0.358866408736059,0.728079621927431
64207801,2,22,4,1,1,8,1,3,5,6,7,4,0.583948412698412,35.27,7,0.34,0.8,45,45,60,70,19,35,34,4.33333333333333,65,29.3333333333333,-0.441506043937874,81,65,66,70.5,-1.78603501093484,0.57568153068076,-0.114164651559541
68030701,1,29,6,3,1,6,7,1,7,7,9,8,0.666289682539682,49.97,6,0.4,0.68,69,40,79,79,10,20,21,6.5,79,17,-0.0617201675312933,90,80,79,82,-0.900885501110305,-0.545775996619422,1.26150099513585
68047501,1,22,3,1,2,9,7,6,7,9,8,5,0.445426587301587,52.93,2,0.44,0.66,70,80,79,90,59,20,30,7,84.5,36.3333333333333,0.165011455339758,41,80,70,70.25,-0.310785827893948,-0.732685584502785,1.53850577841601
68038101,1,23,5,1,2,3,2,1,2,4,4,2,0.590843253968254,35.63,6,0.4,0.8,70,30,79,60,40,40,59,2.5,69.5,46.3333333333333,-0.135226283683202,60,60,41,55.25,-0.900885501110305,0.57568153068076,-0.0804748806200624
64158001,1,28,3,2,0,7,3,2,4,4,5,3,NA,2.14,6,0.5,0.54,100,0,100,100,29,0,0,3.5,100,9.66666666666667,-1.49811294494484,71,100,100,92.75,0.574363681930587,-1.85414311180297,-3.21455940496214
68039201,1,24,7,1,3,5,7,3,9,2,8,7,0.745982142857143,28.07,3,0.42,0.82,61,59,100,70,0,41,41,6,85,27.3333333333333,-0.210401538762375,100,59,59,72,-0.605835664502127,0.762591118564122,-0.787960070349119
64159301,1,23,3,2,0,6,5,7,9,7,8,8,0.563541666666666,37.9,3,0.48,0.86,61,66,76,60,56,25,65,7.33333333333333,68,48.6666666666667,0.515893993782007,44,75,35,53.5,0.279313845322408,1.13641029433085,0.131957841692762
68003301,2,27,4,1,3,4,1,1,7,7,8,2,0.626795634920635,14.4,1,0.32,0.6,39,80,70,70,70,59,34,4.33333333333333,70,54.3333333333333,-1.81391157825822,30,41,66,51.75,-2.08108484754302,-1.29341434815288,-2.06723553907878
64199601,2,23,6,2,0,8,1,1,8,6,1,8,0.718095238095238,45.8,4,0.6,0.84,39,64,79,80,34,40,29,4.16666666666667,79.5,34.3333333333333,1.29012490661306,66,60,71,69.25,2.04961286497148,0.949500706447486,0.871261148420216
64180601,1,23,4,1,0,7,5,4,4,6,8,4,0.562797619047619,31.03,5,0.38,0.56,69,0,74,69,0,31,14,5.16666666666667,71.5,15,-1.12470804956902,100,69,86,81,-1.19593533771848,-1.6672335239196,-0.510955287068959
